,,Number of Spares,,,,,,,,,
Products,Telcorida MTBF (hrs.),1,2,3,4,5,6,7,8,9,10
BMM,179000,3,21,57,110,177,256,344,441,546,657
NLM,63000,1,7,20,38,62,90,121,155,192,231
TEM,179000,3,21,57,110,177,256,344,441,546,657
TAM,400000,7,47,128,246,396,572,770,987,1220,1468
MCM,196000,3,23,63,120,194,280,377,483,598,719
DTC,247000,4,29,79,152,244,353,475,609,753,906
D-FAN,286000,5,34,92,176,283,409,550,706,872,1049
M-FAN,286000,5,34,92,176,283,409,550,706,872,1049
D-PEM,1818000,35,217,585,1122,1802,2601,3502,4488,5548,6674
OAM,250000,4,29,80,154,247,357,481,617,763,917
OMM,208000,4,24,66,128,206,297,400,513,634,763
OTC,370000,7,44,119,228,366,529,712,913,1129,1358
O-FAN,833000,16,99,268,514,825,1192,1604,2056,2542,3058
O-PEM,2000000,39,239,643,1234,1982,2862,3852,4937,6104,7342
A-FAN,833000,16,99,268,514,825,1192,1604,2056,2542,3058
AAM,1213000,23,145,390,748,1202,1735,2336,2994,3702,4453
AMM,313000,6,37,100,193,310,447,602,772,955,1149
ATN,935000,18,111,301,577,926,1338,1801,2308,2853,3432
ATN-PS,1250000,24,149,402,771,1239,1788,2407,3086,3815,4588
OFM,2485000,49,297,800,1534,2463,3556,4786,6135,7584,9122
SIM,871000,17,104,280,537,863,1246,1677,2150,2658,3197
BMM2,111000,2,13,35,68,110,158,213,274,338,407
GAM,714000,14,85,229,440,707,1021,1375,1762,2179,2621
ANLM,63000,1,7,20,38,62,90,121,155,192,231
DSE,333000,6,39,107,205,330,476,641,822,1016,1222
OAM-LG,250000,4,29,80,154,247,357,481,617,763,917
ORM,208000,4,24,66,128,206,297,400,513,634,763
RAM/REM,250000,4,29,80,154,247,357,481,617,763,917
CMM1D,83000,1,9,26,51,82,118,159,204,253,304
X-FAN,417000,8,49,134,257,413,596,803,1029,1272,1530
X-PEM,500000,9,59,160,308,495,715,963,1234,1526,1835
nLM-80,48000,0,5,15,29,47,68,92,118,146,176
OLM-500,31447,1,4,10,19,31,45,61,78,96,115
OLM2-500,31447,1,4,10,19,31,45,61,78,96,115
OTM,78000,1,9,25,48,77,111,150,192,238,286
OXM,167000,3,19,53,103,165,238,321,412,509,613
SCM,167000,3,19,53,103,165,238,321,412,509,613
TIM-100G,185000,3,22,59,114,183,264,356,456,564,679
TIM-10G,200000,3,23,64,123,198,286,385,493,610,734
TIM-40G,278000,5,33,89,171,275,397,535,686,848,1020
TOM-100G,250000,4,29,80,154,247,357,481,617,763,917
TOM-10G,2222000,43,265,715,1371,2202,3179,4280,5485,6781,8157
TOM-1G,4000000,78,478,1287,2469,3965,5724,7705,9875,12208,14684
TOM-2.5G,1538000,30,184,495,949,1524,2201,2962,3797,4694,5646
TOM-40G,385000,7,46,123,237,381,550,741,950,1175,1413
TOM-nHD,2000000,39,239,643,1234,1982,2862,3852,4937,6104,7342
TSM,1000000,19,119,321,617,991,1431,1926,2468,3052,3671
XCM,100000,1,11,32,61,99,143,192,246,305,367
XTC-10,167000,3,19,53,103,165,238,321,412,509,613
XTC-4,167000,3,19,53,103,165,238,321,412,509,613
CX-500,31447,1,4,10,19,31,45,61,78,96,115
CX-FAN,4762000,94,570,1533,2940,4721,6815,9173,11756,14534,17482
CX-PEM,1666667,33,199,537,1029,1652,2385,3211,4115,5087,6119
XMM,200000,4,24,64,123,198,286,385,494,610,734
CX-1200,70000,1,8,22,43,69,100,134,172,213,256
CX2-FAN,4762000,94,570,1533,2940,4721,6815,9173,11756,14534,17482
CX2-PEM,530000,10,63,171,327,525,758,1020,1308,1617,1944
XMM2,200000,4,24,64,123,198,286,385,494,610,734
XT-3300,70000,1,8,22,43,69,100,134,172,213,256
XT-3600,34000,1,4,11,21,34,49,66,84,104,126
OFM-1200,49000,1,6,16,30,48,70,94,120,149,179
OTM-1200,55000,1,7,18,34,55,79,107,137,169,203
