,,Number of Spares,,,,,,,,,
Products,Telcorida MTBF (hrs.),1,2,3,4,5,6,7,8,9,10
BMM,179000,1,10,28,55,88,128,172,220,273,328
NLM,63000,0,3,10,19,31,45,60,77,96,115
TEM,179000,1,10,28,55,88,128,172,220,273,328
TAM,400000,3,23,64,123,198,286,385,493,610,734
MCM,196000,1,11,31,60,97,140,188,241,299,359
DTC,247000,2,14,39,76,122,176,237,304,376,453
D-FAN,286000,2,17,46,88,141,204,275,353,436,524
M-FAN,286000,2,17,46,88,141,204,275,353,436,524
D-PEM,1818000,17,108,292,561,901,1300,1751,2244,2774,3337
OAM,250000,2,14,40,77,123,178,240,308,381,458
OMM,208000,2,12,33,64,103,148,200,256,317,381
OTC,370000,3,22,59,114,183,264,356,456,564,679
O-FAN,833000,8,49,134,257,412,596,802,1028,1271,1529
O-PEM,2000000,19,119,321,617,991,1431,1926,2468,3052,3671
A-FAN,833000,8,49,134,257,412,596,802,1028,1271,1529
AAM,1213000,11,72,195,374,601,867,1168,1497,1851,2226
AMM,313000,3,18,50,96,155,223,301,386,477,574
ATN,935000,9,55,150,288,463,669,900,1154,1426,1716
ATN-PS,1250000,12,74,201,385,619,894,1203,1543,1907,2294
OFM,2485000,24,148,400,767,1231,1778,2393,3067,3792,4561
SIM,871000,8,52,140,268,431,623,838,1075,1329,1598
BMM2,111000,1,6,17,34,55,79,106,137,169,203
GAM,714000,7,42,114,220,353,510,687,881,1089,1310
ANLM,63000,0,3,10,19,31,45,60,77,96,115
DSE,333000,3,19,53,102,165,238,320,411,508,611
OAM-LG,250000,2,14,40,77,123,178,240,308,381,458
ORM,208000,2,12,33,64,103,148,200,256,317,381
RAM/REM,250000,2,14,40,77,123,178,240,308,381,458
CMM1D,83000,0,4,13,25,41,59,79,102,126,152
X-FAN,417000,4,24,67,128,206,298,401,514,636,765
X-PEM,500000,4,29,80,154,247,357,481,617,763,917
nLM-80,48000,0,2,7,14,23,34,46,59,73,88
OLM-500,31447,0,2,5,10,16,23,30,39,48,58
OLM2-500,31447,0,2,5,10,16,23,30,39,48,58
OTM,78000,0,4,12,24,38,55,75,96,119,143
OXM,167000,1,9,26,51,82,119,160,206,254,306
SCM,167000,1,9,26,51,82,119,160,206,254,306
TIM-100G,185000,1,11,29,57,91,132,178,228,282,339
TIM-10G,200000,1,11,32,61,99,143,192,246,305,367
TIM-40G,278000,2,16,44,85,137,198,267,343,424,510
TOM-100G,250000,2,14,40,77,123,178,240,308,381,458
TOM-10G,2222000,21,132,357,685,1101,1589,2140,2742,3390,4078
TOM-1G,4000000,39,239,643,1234,1982,2862,3852,4937,6104,7342
TOM-2.5G,1538000,15,92,247,474,762,1100,1481,1898,2347,2823
TOM-40G,385000,3,23,61,118,190,275,370,475,587,706
TOM-nHD,2000000,19,119,321,617,991,1431,1926,2468,3052,3671
TSM,1000000,9,59,160,308,495,715,963,1234,1526,1835
XCM,100000,0,5,16,30,49,71,96,123,152,183
XTC-10,167000,1,9,26,51,82,119,160,206,254,306
XTC-4,167000,1,9,26,51,82,119,160,206,254,306
CX-500,31447,0,2,5,10,16,23,30,39,48,58
CX-FAN,4762000,47,285,767,1470,2360,3407,4587,5878,7267,8741
CX-PEM,1666667,16,100,268,514,826,1193,1605,2057,2543,3059
XMM,200000,2,12,32,62,99,143,193,247,305,367
CX-1200,70000,1,4,11,22,35,50,67,86,106,128
CX2-FAN,4762000,47,285,767,1470,2360,3407,4587,5878,7267,8741
CX2-PEM,530000,5,32,85,163,263,379,510,654,808,972
XMM2,200000,2,12,32,62,99,143,193,247,305,367
XT-3300,70000,1,4,11,22,35,50,67,86,106,128
XT-3600,34000,0,2,6,11,17,24,33,42,52,63
OFM-1200,49000,0,3,8,15,24,35,47,60,74,89
OTM-1200,55000,1,3,9,17,27,40,53,68,85,102
